,bartscore,number of Unique sentences,chapter-title,source
2605,-2.8847114424551688,1,Kidnapped.chapter 2,shmoop
2606,-2.8340461359304543,2,Kidnapped.chapter 3,shmoop
2607,-3.1235146522521973,9,Kidnapped.chapter 4,shmoop
2608,-3.602205674988883,6,Kidnapped.chapter 5,shmoop
2609,-3.3700787039364086,5,Kidnapped.chapter 6,shmoop
2610,-3.4711099696713825,7,Kidnapped.chapter 7,shmoop
2611,-3.676482626370021,6,Kidnapped.chapter 8,shmoop
2612,-3.4462560696734323,11,Kidnapped.chapter 9,shmoop
2613,-3.500697110380445,3,Kidnapped.chapter 10,shmoop
2614,-3.526241818070412,7,Kidnapped.chapter 11,shmoop
2615,-3.5502206285794577,9,Kidnapped.chapter 12,shmoop
2616,-3.4950677044689655,5,Kidnapped.chapter 13,shmoop
2617,-3.4072131335735323,5,Kidnapped.chapter 14,shmoop
2618,-3.4477032360277677,6,Kidnapped.chapter 15,shmoop
2619,-3.7984701527489557,8,Kidnapped.chapter 16,shmoop
2620,-3.5218309047745495,5,Kidnapped.chapter 17,shmoop
2621,-3.2638842121083687,3,Kidnapped.chapter 18,shmoop
2622,-3.2705186788852396,6,Kidnapped.chapter 19,shmoop
2623,-3.3497760404240005,5,Kidnapped.chapter 20,shmoop
2624,-3.3900943597157798,15,Kidnapped.chapter 21,shmoop
2625,-3.1740211215284138,6,Kidnapped.chapter 22,shmoop
2626,-3.2632532016984346,8,Kidnapped.chapter 23,shmoop
2627,-3.424807443175205,7,Kidnapped.chapter 24,shmoop
2628,-3.197920348333276,7,Kidnapped.chapter 25,shmoop
2629,-3.3852030529695396,5,Kidnapped.chapter 26,shmoop
2630,-3.2416958411534624,5,Kidnapped.chapter 27,shmoop
2631,-2.808770018319289,5,Kidnapped.chapter 28,shmoop
2632,-3.000998084191923,7,Kidnapped.chapter 29,shmoop
2633,-3.29239231745402,3,Kidnapped.chapter 30,shmoop
2634,-2.99837611913681,5,Kidnapped.chapter 1,sparknotes
2635,-2.934696523582234,9,Kidnapped.chapter 2,sparknotes
2636,-2.7619967120034357,6,Kidnapped.chapter 3,sparknotes
2637,-2.883033755578493,10,Kidnapped.chapter 4,sparknotes
2638,-2.87995685338974,4,Kidnapped.chapter 5,sparknotes
2639,-3.1605086496898105,5,Kidnapped.chapter 6,sparknotes
2640,-3.103400074518644,6,Kidnapped.chapter 7,sparknotes
2641,-3.291935852595738,4,Kidnapped.chapter 8,sparknotes
